Symbol,Name,InstrumentToken,ExchangeToken,InstrumentType,Segment,Exchange,IsActive
SHOPERSTOP,"SHOPPERS STOP",3024129,11813,EQ,NSE,NSE,True
MANGALAM,"MANGALAM DRUG & CHEM",3025153,11817,EQ,NSE,NSE,True
WELCORP,"WELSPUN CORP",3026177,11821,EQ,NSE,NSE,True
SSWL,"STEEL STRIPS WHEELS",3028225,11829,EQ,NSE,NSE,True
NH,"NARAYANA HRUDAYALAYA",3031041,11840,EQ,NSE,NSE,True
KENNAMET,"KENNAMETAL INDIA",3031297,11841,EQ,NSE,NSE,True
CYBERMEDIA-BE,"CYBER MEDIA (INDIA)",3032321,11845,EQ,NSE,NSE,True
SURYALAXMI,"SURYALAKSHMI COT MIL",3034113,11852,EQ,NSE,NSE,True
SHAHALLOYS,"SHAH ALLOYS",3035137,11856,EQ,NSE,NSE,True
JKPAPER,"JK PAPER",3036161,11860,EQ,NSE,NSE,True
PRIMESECU,"PRIME SECURITIES",3037185,11864,EQ,NSE,NSE,True
GRANULES,"GRANULES INDIA",3039233,11872,EQ,NSE,NSE,True
JSWHL,"JSW HOLDINGS",3041281,11880,EQ,NSE,NSE,True
MANINDS,"MAN INDUSTRIES (I)",3042305,11884,EQ,NSE,NSE,True
VHL,"VARDHMAN HOLDINGS",3044353,11892,EQ,NSE,NSE,True
DCXINDIA,"DCX SYSTEMS",3045121,11895,EQ,NSE,NSE,True
GEOJITFSL,"GEOJIT FINANCIAL SER L",3045377,11896,EQ,NSE,NSE,True
GENUSPOWER,"GENUS POWER INFRASTRU",3047681,11905,EQ,NSE,NSE,True
SWELECTES,"SWELECT ENERGY SYS",3048705,11909,EQ,NSE,NSE,True
YESBANK,"YES BANK",3050241,11915,EQ,NSE,NSE,True
MSPL,"MSP STEEL & POWER",3051265,11919,EQ,NSE,NSE,True
NECLIFE-BE,"NECTAR LIFESCIENCES",3054081,11930,EQ,NSE,NSE,True
FUSION,"FUSION FINANCE",3054593,11932,EQ,NSE,NSE,True
